Iloœæ punktów dla zbioru; Czas obliczeñ dla algorytmu Grahama (ms);Czas obliczeñ dla algorytmu Jarvisa (ms);Punkty na otoczce
1e1;0,0ms;0,0ms;1
1e2;0,0ms;0,0ms;1
1e3;1,0ms;0,0ms;1
1e4;6,0ms;3,0ms;1
1e5;61,0ms;35,0ms;1
1e6;619,55ms;184,61ms;1
